,index,id,id_simbolo,ultimo_precio,ultimo_fecha,ultimo_size,fecha_insercion,bi_1_precio,bi_1_size,bi_2_precio,bi_2_size,bi_3_precio,bi_3_size,bi_4_precio,bi_4_size,bi_5_precio,bi_5_size,of_1_precio,of_1_size,of_2_precio,of_2_size,of_3_precio,of_3_size,of_4_precio,of_4_size,of_5_precio,of_5_size,biof_fecha,insercion_dia,ev,nv,trade,trade_cat
0,331,1101961305,MERV - XMEV - GGAL - 24hs,3725.0,2024-08-07 14:00:13,123,2024-08-07 14:00:13.625,3800.0,71,3750.0,13,3725.0,75,3720.0,1001,3710.0,300,3540.0,11,3660.0,109,3720.0,3,3740.0,25,3750.0,103,2024-08-07 14:00:13.532,,0,0,True,nan
1,367,1101961377,MERV - XMEV - GGAL - 24hs,3725.0,2024-08-07 14:00:13,123,2024-08-07 14:00:14.621,3725.0,36,3720.0,1001,3710.0,300,3700.0,6650,3695.0,10000,3740.0,25,3750.0,103,3760.0,1905,3790.0,803,3795.0,5,2024-08-07 14:00:14.532,,458175,123,False,nan
2,629,1101961824,MERV - XMEV - GGAL - 24hs,3725.0,2024-08-07 14:00:13,123,2024-08-07 14:00:20.083,3725.0,36,3720.0,1001,3710.0,300,3705.0,10000,3700.0,6650,3740.0,25,3750.0,103,3760.0,1905,3790.0,803,3795.0,5,2024-08-07 14:00:20.003,,458175,123,False,nan
3,831,1101962152,MERV - XMEV - GGAL - 24hs,3725.0,2024-08-07 14:00:13,123,2024-08-07 14:00:23.814,3725.0,536,3720.0,1001,3710.0,300,3705.0,10000,3700.0,6650,3740.0,25,3750.0,103,3760.0,1905,3790.0,803,3795.0,5,2024-08-07 14:00:23.737,,458175,123,False,nan
4,1609,1101963373,MERV - XMEV - GGAL - 24hs,3725.0,2024-08-07 14:00:13,123,2024-08-07 14:00:39.376,3725.0,536,3720.0,1001,3705.0,10000,3700.0,6150,3680.0,3300,3740.0,25,3750.0,103,3760.0,1905,3790.0,803,3795.0,5,2024-08-07 14:00:39.284,,458175,123,False,nan
5,1672,1101963465,MERV - XMEV - GGAL - 24hs,3725.0,2024-08-07 14:00:13,123,2024-08-07 14:00:40.755,3725.0,1036,3720.0,1001,3705.0,10000,3700.0,6150,3680.0,3300,3730.0,2000,3740.0,25,3750.0,103,3760.0,1905,3790.0,803,2024-08-07 14:00:40.674,,458175,123,False,nan
6,1697,1101963500,MERV - XMEV - GGAL - 24hs,3730.0,2024-08-07 14:00:41,394,2024-08-07 14:00:41.250,3725.0,1036,3720.0,1001,3705.0,10000,3700.0,6150,3680.0,3300,3730.0,2000,3740.0,25,3750.0,103,3760.0,1905,3790.0,803,2024-08-07 14:00:41.174,,458175,123,True,offer
7,1721,1101963533,MERV - XMEV - GGAL - 24hs,3730.0,2024-08-07 14:00:41,394,2024-08-07 14:00:41.787,3725.0,1036,3720.0,1001,3705.0,10000,3700.0,6150,3680.0,3300,3730.0,1606,3740.0,25,3750.0,125,3760.0,1905,3790.0,803,2024-08-07 14:00:41.708,,458175,123,False,nan
8,1740,1101963560,MERV - XMEV - GGAL - 24hs,3730.0,2024-08-07 14:00:41,394,2024-08-07 14:00:42.287,3725.0,1036,3720.0,1001,3705.0,10000,3700.0,6150,3680.0,3300,3730.0,1606,3740.0,25,3750.0,125,3760.0,1905,3790.0,803,2024-08-07 14:00:42.207,,1927795,517,False,nan
9,1812,1101963664,MERV - XMEV - GGAL - 24hs,3730.0,2024-08-07 14:00:43,19,2024-08-07 14:00:43.307,3725.0,1036,3720.0,1001,3705.0,10000,3700.0,6150,3680.0,3300,3730.0,1606,3740.0,25,3750.0,125,3760.0,1905,3790.0,803,2024-08-07 14:00:43.228,,1927795,517,True,offer
10,1871,1101963738,MERV - XMEV - GGAL - 24hs,3730.0,2024-08-07 14:00:43,201,2024-08-07 14:00:43.809,3725.0,1036,3720.0,1001,3705.0,10000,3700.0,6150,3680.0,3300,3730.0,1606,3740.0,25,3750.0,125,3760.0,1905,3790.0,803,2024-08-07 14:00:43.728,,2032235,545,False,nan
11,1946,1101963834,MERV - XMEV - GGAL - 24hs,3730.0,2024-08-07 14:00:44,60,2024-08-07 14:00:44.304,3725.0,1036,3720.0,1001,3705.0,10000,3700.0,6150,3680.0,3300,3730.0,1371,3740.0,25,3750.0,125,3760.0,1905,3790.0,803,2024-08-07 14:00:44.227,,5199005,1394,True,offer
12,2000,1101963908,MERV - XMEV - GGAL - 24hs,3730.0,2024-08-07 14:00:44,60,2024-08-07 14:00:44.806,3725.0,1036,3720.0,1001,3705.0,10000,3700.0,6150,3680.0,3300,3730.0,669,3740.0,25,3750.0,125,3760.0,1905,3790.0,803,2024-08-07 14:00:44.727,,5422805,1454,False,nan
13,2067,1101964005,MERV - XMEV - GGAL - 24hs,3730.0,2024-08-07 14:00:46,16,2024-08-07 14:00:46.453,3725.0,1036,3720.0,1001,3705.0,10000,3700.0,6150,3680.0,3300,3730.0,669,3740.0,25,3750.0,125,3760.0,1905,3790.0,803,2024-08-07 14:00:46.370,,5422805,1454,True,offer
14,2090,1101964042,MERV - XMEV - GGAL - 24hs,3730.0,2024-08-07 14:00:46,16,2024-08-07 14:00:47.116,3725.0,1036,3720.0,1001,3705.0,10000,3700.0,6150,3680.0,3300,3730.0,653,3740.0,25,3750.0,125,3760.0,1905,3790.0,803,2024-08-07 14:00:47.039,,5422805,1454,False,nan
15,2110,1101964074,MERV - XMEV - GGAL - 24hs,3730.0,2024-08-07 14:00:46,16,2024-08-07 14:00:47.616,3725.0,1036,3720.0,1001,3705.0,10000,3700.0,6150,3680.0,3300,3730.0,653,3740.0,25,3750.0,125,3760.0,1905,3790.0,803,2024-08-07 14:00:47.539,,5482485,1470,False,nan
16,2165,1101964166,MERV - XMEV - GGAL - 24hs,3730.0,2024-08-07 14:00:48,300,2024-08-07 14:00:49.036,3725.0,1036,3720.0,1001,3705.0,10000,3700.0,6150,3680.0,3300,3730.0,653,3740.0,25,3750.0,125,3760.0,1905,3790.0,803,2024-08-07 14:00:48.959,,5482485,1470,True,offer
17,2175,1101964182,MERV - XMEV - GGAL - 24hs,3730.0,2024-08-07 14:00:49,7,2024-08-07 14:00:49.671,3725.0,1036,3720.0,1001,3705.0,10000,3700.0,6150,3680.0,3300,3730.0,653,3740.0,25,3750.0,125,3760.0,1905,3790.0,803,2024-08-07 14:00:49.594,,6601485,1770,True,offer
18,2190,1101964202,MERV - XMEV - GGAL - 24hs,3730.0,2024-08-07 14:00:49,7,2024-08-07 14:00:50.172,3725.0,1036,3720.0,1001,3705.0,10000,3700.0,6150,3680.0,3300,3730.0,346,3740.0,25,3750.0,325,3760.0,1905,3790.0,803,2024-08-07 14:00:50.095,,6601485,1770,False,nan
19,2223,1101964256,MERV - XMEV - GGAL - 24hs,3730.0,2024-08-07 14:00:50,12,2024-08-07 14:00:50.672,3725.0,1036,3720.0,1001,3705.0,10000,3700.0,6150,3680.0,3300,3730.0,346,3740.0,25,3750.0,325,3760.0,1905,3790.0,803,2024-08-07 14:00:50.595,,6743225,1808,True,offer
20,2251,1101964294,MERV - XMEV - GGAL - 24hs,3730.0,2024-08-07 14:00:50,12,2024-08-07 14:00:51.172,3725.0,1036,3720.0,1001,3705.0,10000,3700.0,6150,3680.0,3300,3730.0,303,3740.0,25,3750.0,325,3760.0,1905,3790.0,803,2024-08-07 14:00:51.095,,6787985,1820,False,nan
21,2414,1101964530,MERV - XMEV - GGAL - 24hs,3730.0,2024-08-07 14:00:54,2,2024-08-07 14:00:54.585,3725.0,1036,3720.0,1001,3705.0,10000,3700.0,6150,3680.0,3300,3730.0,303,3740.0,25,3750.0,325,3760.0,1905,3790.0,803,2024-08-07 14:00:54.508,,6787985,1820,True,offer
22,2441,1101964572,MERV - XMEV - GGAL - 24hs,3730.0,2024-08-07 14:00:54,9,2024-08-07 14:00:55.087,3725.0,1036,3720.0,1001,3705.0,10000,3700.0,6150,3680.0,3300,3730.0,303,3740.0,25,3750.0,325,3760.0,1905,3790.0,803,2024-08-07 14:00:55.008,,6795445,1822,False,nan
23,2478,1101964645,MERV - XMEV - GGAL - 24hs,3730.0,2024-08-07 14:00:54,9,2024-08-07 14:00:55.589,3725.0,1036,3720.0,1001,3705.0,10000,3700.0,6150,3680.0,3300,3730.0,292,3740.0,25,3750.0,325,3760.0,1905,3790.0,803,2024-08-07 14:00:55.508,,6829015,1831,False,nan
24,2552,1101964803,MERV - XMEV - GGAL - 24hs,3730.0,2024-08-07 14:00:54,9,2024-08-07 14:00:56.518,3725.0,1136,3720.0,1001,3705.0,10000,3700.0,6150,3680.0,3300,3730.0,292,3740.0,25,3750.0,325,3760.0,1905,3790.0,803,2024-08-07 14:00:56.441,,6829015,1831,False,nan
25,2623,1101964985,MERV - XMEV - GGAL - 24hs,3730.0,2024-08-07 14:00:57,292,2024-08-07 14:00:57.557,3725.0,1136,3720.0,1001,3705.0,10000,3700.0,6150,3680.0,3300,3730.0,292,3740.0,25,3750.0,325,3760.0,1905,3790.0,803,2024-08-07 14:00:57.464,,6829015,1831,True,offer
