,index,id,id_simbolo,ultimo_precio,ultimo_fecha,ultimo_size,fecha_insercion,bi_1_precio,bi_1_size,bi_2_precio,bi_2_size,bi_3_precio,bi_3_size,bi_4_precio,bi_4_size,bi_5_precio,bi_5_size,of_1_precio,of_1_size,of_2_precio,of_2_size,of_3_precio,of_3_size,of_4_precio,of_4_size,of_5_precio,of_5_size,biof_fecha,insercion_dia,ev,nv,trade,trade_cat,OFI
0,311,1112271597,MERV - XMEV - GGAL - 24hs,4190.0,2024-08-14 14:00:15,615,2024-08-14 14:00:15.306,4310.0,10,4300.0,47,4250.0,33,4200.0,100,4195.0,423,4100.0,60,4135.0,490,4170.0,31,4180.0,15,4185.0,19,2024-08-14 14:00:15.233000,,0,0,True,nan,0.0
1,339,1112271674,MERV - XMEV - GGAL - 24hs,4190.0,2024-08-14 14:00:15,615,2024-08-14 14:00:16.306,4190.0,998,4180.0,110,4175.0,8,4170.0,30,4160.0,30,4195.0,35,4200.0,71,4205.0,55,4210.0,8,4215.0,2000,2024-08-14 14:00:16.232000,,2576850,615,False,nan,0.0
2,484,1112271963,MERV - XMEV - GGAL - 24hs,4190.0,2024-08-14 14:00:15,615,2024-08-14 14:00:19.775,4190.0,998,4180.0,110,4175.0,8,4170.0,30,4160.0,130,4195.0,35,4200.0,71,4205.0,55,4210.0,8,4215.0,2000,2024-08-14 14:00:19.706000,,2576850,615,False,nan,0.0
3,528,1112272041,MERV - XMEV - GGAL - 24hs,4195.0,2024-08-14 14:00:20,35,2024-08-14 14:00:20.795,4190.0,998,4180.0,110,4175.0,8,4170.0,30,4160.0,130,4195.0,35,4200.0,71,4205.0,55,4210.0,8,4215.0,2000,2024-08-14 14:00:20.723000,,2576850,615,True,offer,1.0
4,563,1112272104,MERV - XMEV - GGAL - 24hs,4195.0,2024-08-14 14:00:20,35,2024-08-14 14:00:21.415,4190.0,998,4180.0,110,4175.0,8,4170.0,30,4160.0,130,4200.0,71,4205.0,55,4210.0,8,4215.0,2000,4220.0,153,2024-08-14 14:00:21.346000,,2576850,615,False,nan,1.0
5,579,1112272139,MERV - XMEV - GGAL - 24hs,4195.0,2024-08-14 14:00:20,35,2024-08-14 14:00:21.915,4190.0,998,4180.0,110,4175.0,8,4170.0,30,4160.0,130,4200.0,71,4205.0,55,4210.0,8,4215.0,2000,4220.0,153,2024-08-14 14:00:21.846000,,2723675,650,False,nan,1.0
6,703,1112272373,MERV - XMEV - GGAL - 24hs,4200.0,2024-08-14 14:00:24,5,2024-08-14 14:00:24.886,4190.0,998,4180.0,110,4175.0,8,4170.0,30,4160.0,130,4200.0,71,4205.0,55,4210.0,8,4215.0,2000,4220.0,153,2024-08-14 14:00:24.812000,,2723675,650,True,offer,1.0
7,749,1112272443,MERV - XMEV - GGAL - 24hs,4200.0,2024-08-14 14:00:24,22,2024-08-14 14:00:25.400,4190.0,998,4180.0,110,4175.0,8,4170.0,30,4160.0,130,4200.0,71,4205.0,55,4210.0,8,4215.0,2000,4220.0,153,2024-08-14 14:00:25.313000,,2723675,650,False,nan,1.0
8,774,1112272488,MERV - XMEV - GGAL - 24hs,4200.0,2024-08-14 14:00:24,22,2024-08-14 14:00:25.901,4190.0,998,4180.0,110,4175.0,8,4170.0,30,4160.0,130,4205.0,55,4210.0,8,4215.0,2000,4220.0,153,4230.0,60,2024-08-14 14:00:25.813000,,3021875,721,False,nan,1.0
9,870,1112272641,MERV - XMEV - GGAL - 24hs,4200.0,2024-08-14 14:00:24,22,2024-08-14 14:00:27.558,4195.0,12,4190.0,998,4180.0,110,4175.0,8,4170.0,30,4205.0,55,4210.0,8,4215.0,2000,4220.0,153,4230.0,60,2024-08-14 14:00:27.488000,,3021875,721,False,nan,1.0
10,1581,1112273938,MERV - XMEV - GGAL - 24hs,4195.0,2024-08-14 14:00:37,12,2024-08-14 14:00:38.057,4195.0,12,4190.0,998,4180.0,110,4175.0,8,4170.0,30,4205.0,55,4210.0,8,4215.0,2000,4220.0,153,4230.0,60,2024-08-14 14:00:37.979000,,3021875,721,True,bid,0.3333333333333333
11,1668,1112274063,MERV - XMEV - GGAL - 24hs,4190.0,2024-08-14 14:00:37,13,2024-08-14 14:00:38.591,4195.0,12,4190.0,998,4180.0,110,4175.0,8,4170.0,30,4205.0,55,4210.0,8,4215.0,2000,4220.0,153,4230.0,60,2024-08-14 14:00:38.479000,,3021875,721,False,nan,0.3333333333333333
12,1735,1112274155,MERV - XMEV - GGAL - 24hs,4190.0,2024-08-14 14:00:37,13,2024-08-14 14:00:39.050,4190.0,985,4180.0,110,4175.0,8,4170.0,30,4160.0,130,4205.0,55,4210.0,8,4215.0,2000,4220.0,153,4230.0,60,2024-08-14 14:00:38.979000,,3126685,746,False,nan,0.3333333333333333
13,2104,1112274891,MERV - XMEV - GGAL - 24hs,4205.0,2024-08-14 14:00:42,6,2024-08-14 14:00:43.058,4190.0,985,4180.0,110,4175.0,8,4170.0,30,4160.0,130,4205.0,55,4210.0,8,4215.0,2000,4220.0,153,4230.0,60,2024-08-14 14:00:42.988000,,3126685,746,True,offer,0.5
14,2138,1112274959,MERV - XMEV - GGAL - 24hs,4205.0,2024-08-14 14:00:42,49,2024-08-14 14:00:43.557,4190.0,985,4180.0,110,4175.0,8,4170.0,30,4160.0,130,4205.0,55,4210.0,8,4215.0,2000,4220.0,153,4230.0,60,2024-08-14 14:00:43.488000,,3126685,746,False,nan,0.5
